Term / Paper,Question,Topic,Subtopic,Marks
December 2025,Define plagiarism and explain why it is an ethical breach.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2025,State consequences of plagiarism in educational settings.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2025,Explain how plagiarism affects professional life.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2025,Explain how plagiarism affects trust and credibility.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2025,State strategies for preventing plagiarism.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2025,Rewrite sentence beginning with 'Outdoor picnic' (bad weather blocked plans).,Grammar and Sentence Transformation,Sentence transformation,1
December 2025,Rewrite sentence beginning with 'They' (the car is being sold).,Grammar and Sentence Transformation,Sentence transformation,1
December 2025,Rewrite sentence beginning with 'Please' (request to maintain calm in library).,Grammar and Sentence Transformation,Sentence transformation,1
December 2025,Rewrite sentence beginning with 'The discussion' (discussion on climate crisis next week).,Grammar and Sentence Transformation,Sentence transformation,1
December 2025,Rewrite sentence beginning with 'Start up competition' (university organized competition).,Grammar and Sentence Transformation,Sentence transformation,1
December 2025,Choose the correct article for 'sun rises in the east'.,Grammar and Sentence Transformation,Articles,1
December 2025,Choose the correct article for 'apple on the table'.,Grammar and Sentence Transformation,Articles,1
December 2025,Choose the correct article for 'umbrella in the corner'.,Grammar and Sentence Transformation,Articles,1
December 2025,Choose the correct article for 'astronaut'.,Grammar and Sentence Transformation,Articles,1
December 2025,Choose the correct article for 'interesting documentary'.,Grammar and Sentence Transformation,Articles,1
December 2025,Compose a paragraph of about 100 words on Importance of career choice.,Written Communication,Paragraph writing,10
December 2025,Compose a paragraph of about 100 words on The Art of Public Speaking.,Written Communication,Paragraph writing,10
December 2025,Write a letter to a friend on the importance of professional skills and ethics with examples.,Written Communication,Letter writing,10
December 2025,Write a detailed note on major types of Group Discussion and effective ways to perform in a GD.,Group Discussion and Social Communication,Group discussion,10
June 2025,Explain technology-driven education and how it is transforming education.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2025,Explain how technology has improved accessibility in education and why it matters.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2025,Explain EdTech benefits for engagement and interactivity.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2025,Suggest an appropriate title for the EdTech passage.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2025,Give antonyms of 'accessibility' and 'engagement'.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2025,Rewrite sentence beginning with 'Cricket match' (rain suspended activities).,Grammar and Sentence Transformation,Sentence transformation,1
June 2025,Rewrite sentence beginning with 'Please' (request to come on time).,Grammar and Sentence Transformation,Sentence transformation,1
June 2025,Rewrite sentence beginning with 'They' (furniture is being sold).,Grammar and Sentence Transformation,Sentence transformation,1
June 2025,Rewrite sentence beginning with 'Party' (he is hosting a birthday party).,Grammar and Sentence Transformation,Sentence transformation,1
June 2025,Rewrite sentence beginning with 'G-20 summit' (India organized summit successfully).,Grammar and Sentence Transformation,Sentence transformation,1
June 2025,Choose the correct article before 'architect'.,Grammar and Sentence Transformation,Articles,1
June 2025,Choose the correct article before 'Eiffel tower'.,Grammar and Sentence Transformation,Articles,1
June 2025,Choose the correct articles in the movie/amazing experience sentence.,Grammar and Sentence Transformation,Articles,1
June 2025,Choose the correct article before 'only child'.,Grammar and Sentence Transformation,Articles,1
June 2025,Write a short note on Barriers to Communication.,Professional Communication,Communication barriers,5
June 2025,Write a short note on Social Media Etiquettes.,Group Discussion and Social Communication,Social media etiquette,5
June 2025,Write a short note on Group Discussion.,Group Discussion and Social Communication,Group discussion,5
June 2025,Write a short note on Ethics in Life.,Ethics and Professional Conduct,Ethical life,5
June 2025,Write a letter to a friend about a new hobby and its contribution to physical and mental health.,Written Communication,Letter writing,10
June 2025,Write a detailed note on different types of communication and barriers affecting the process.,Professional Communication,Communication types,10
December 2024,Explain why the Bullet train is considered a Dream Project.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2024,State prime advantages of having a Bullet train.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2024,Explain how technology would be managed for the HSR project.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2024,Comment on the philosophy in the Prime Minister's words.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2024,Discuss financial management for the HSR project.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2024,Suggest an appropriate topic for the passage.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2024,"Find passage words/phrases meaning power, inexpensive and advancement.",Reading Comprehension and Vocabulary,Contextual vocabulary,3
December 2024,Write a short note on Social media etiquette.,Group Discussion and Social Communication,Social media etiquette,5
December 2024,Write a short note on Skills required for group discussion.,Group Discussion and Social Communication,Group discussion,5
December 2024,Write a short note on Copyright issues.,Ethics and Professional Conduct,Copyright,5
December 2024,Write a short note on significance of ethical life at personal and professional life.,Ethics and Professional Conduct,Ethical life,5
December 2024,Choose the correct article before 'easy question'.,Grammar and Sentence Transformation,Articles,1
December 2024,Choose the correct article before 'necessity'.,Grammar and Sentence Transformation,Articles,1
December 2024,Choose the correct article before 'important members'.,Grammar and Sentence Transformation,Articles,1
December 2024,Choose the correct articles for 'Indian girl' and 'European boy'.,Grammar and Sentence Transformation,Articles,1
December 2024,Make a sentence using the phrasal verb 'go on' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,Make a sentence using the phrasal verb 'pick up' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,Make a sentence using the phrasal verb 'come up with' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,Make a sentence using the phrasal verb 'go back' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,Make a sentence using the phrasal verb 'find out' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,Make a sentence using the phrasal verb 'break in' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,Make a sentence using the phrasal verb 'call on' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,Make a sentence using the phrasal verb 'turn out' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,Make a sentence using the phrasal verb 'back up' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,Make a sentence using the phrasal verb 'put up' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
December 2024,"Write a letter to a friend about a new online course, including its features and professional, employment, personality and social value.",Written Communication,Letter writing,10
June 2024,Explain why the Bullet train is considered a Dream Project.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2024,State prime advantages of having a Bullet train.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2024,Explain how technology would be managed for the HSR project.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2024,Comment on the philosophy in the Prime Minister's words.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2024,Discuss financial management for the HSR project.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2024,Suggest an appropriate topic for the passage.,Reading Comprehension and Vocabulary,Reading comprehension,2
June 2024,"Find passage words/phrases meaning power, inexpensive and advancement.",Reading Comprehension and Vocabulary,Contextual vocabulary,3
June 2024,Write a short note on the value of self-confidence.,Career and Workplace Skills,Self-confidence,5
June 2024,Write a short note on the perils of plagiarism.,Ethics and Professional Conduct,Plagiarism,5
June 2024,Write a short note on the role of ethics in personal and professional life.,Ethics and Professional Conduct,Professional ethics,5
June 2024,Write a short note on the importance of listening.,Professional Communication,Listening skills,5
June 2024,Choose the correct article before 'club'.,Grammar and Sentence Transformation,Articles,1
June 2024,Choose the correct article before 'sun'.,Grammar and Sentence Transformation,Articles,1
June 2024,Choose the correct article before 'hour'.,Grammar and Sentence Transformation,Articles,1
June 2024,Choose the correct articles for 'room' and 'idea'.,Grammar and Sentence Transformation,Articles,1
June 2024,Make a sentence using the phrasal verb 'break out' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,Make a sentence using the phrasal verb 'take off' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,Make a sentence using the phrasal verb 'look after' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,Make a sentence using the phrasal verb 'passed away' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,Make a sentence using the phrasal verb 'put out' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,Make a sentence using the phrasal verb 'made up' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,Make a sentence using the phrasal verb 'call off' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,Make a sentence using the phrasal verb 'break down' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,Make a sentence using the phrasal verb 'do without' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,Make a sentence using the phrasal verb 'call on' so its meaning is clear.,Grammar and Sentence Transformation,Phrasal verbs,1
June 2024,"Write a letter to a friend sharing new job experiences in an IT company, including work environment, social impact and five-year career plan.",Written Communication,Letter writing,10
December 2023,State what Information Technology is and how it evolved.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2023,Identify who the first 'computers' were according to the passage.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2023,Explain the outcome of the development of Information Technology.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2023,Explain what it signifies when computing systems take the shape of clouds.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2023,Give a suitable title to the passage and justify it.,Reading Comprehension and Vocabulary,Reading comprehension,2
December 2023,"Find passage words/phrases meaning a place where items may be kept, convey, modify, create, result/effect and imitate.",Reading Comprehension and Vocabulary,Contextual vocabulary,6
December 2023,"Make sentences using Retrieve, Subset, Dethrone and Accessible.",Reading Comprehension and Vocabulary,Sentence usage,4
December 2023,Discuss whether anonymity should be allowed on the internet.,Ethics and Professional Conduct,Professional ethics,5
December 2023,Explain your understanding of morality and ethics.,Ethics and Professional Conduct,Ethical life,5
December 2023,Explain the importance of time management.,Career and Workplace Skills,Time management,5
December 2023,Discuss the impact of social media.,Technology and Contemporary Issues,Technology and society,5
December 2023,Fill in the blanks with appropriate articles in the education passage (10 blanks).,Grammar and Sentence Transformation,Articles,5
December 2023,Rewrite beginning with 'Bad weather' (girl feeling sick).,Grammar and Sentence Transformation,Sentence transformation,1
December 2023,Rewrite beginning with 'A book' (will write a book next semester).,Grammar and Sentence Transformation,Sentence transformation,1
